Method Name,Game,Type,Effected By Shiny Charm,Automatically Applied,Chance of Being Applied,Chain/Encounter/etc Required,Odds,Odds (Percent),Odds (1/x),Shiny Charm Odds,Shiny Charm Odds (Percent),Shiny Charm Odds (1/x),Description,Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Red,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,When Transferred to Generation 2 or Pokemon Bank@ if the Pokemon has a Speed@ Defence@ and Special DVs are all 10@ and its Attack DV is either 2@ 3@ 6@ 7@ 10@ 11@ 14@ or 15@ the Pokemon will be shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Blue,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,When Transferred to Generation 2 or Pokemon Bank@ if the Pokemon has a Speed@ Defence@ and Special DVs are all 10@ and its Attack DV is either 2@ 3@ 6@ 7@ 10@ 11@ 14@ or 15@ the Pokemon will be shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Yellow,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,When Transferred to Generation 2 or Pokemon Bank@ if the Pokemon has a Speed@ Defence@ and Special DVs are all 10@ and its Attack DV is either 2@ 3@ 6@ 7@ 10@ 11@ 14@ or 15@ the Pokemon will be shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Ditto Glitch,Red,Glitch,No,Yes,1,1,1,100,1,1,100,1,Transfer a shiny Pokemon that can learn mimic from a Generation 2 game to a Generation 1 game (the Red Gyarados is the easiest Pokemon of this type to obtain).  Teach the Pokemon Mimic and find a Ditto.  Use Mimic in the first round@ if you out speed the Ditto@ you will learn Transform.  If the ditto uses transform twice in a battle@ it will copy your Pokemon's DVs@ resulting in it being shiny when transferred to a Generation 2 game.,Ditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Ditto Glitch,Blue,Glitch,No,Yes,1,1,1,100,1,1,100,1,Transfer a shiny Pokemon that can learn mimic from a Generation 2 game to a Generation 1 game (the Red Gyarados is the easiest Pokemon of this type to obtain).  Teach the Pokemon Mimic and find a Ditto.  Use Mimic in the first round@ if you out speed the Ditto@ you will learn Transform.  If the ditto uses transform twice in a battle@ it will copy your Pokemon's DVs@ resulting in it being shiny when transferred to a Generation 2 game.,Ditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Ditto Glitch,Yellow,Glitch,No,Yes,1,1,1,100,1,1,100,1,Transfer a shiny Pokemon that can learn mimic from a Generation 2 game to a Generation 1 game (the Red Gyarados is the easiest Pokemon of this type to obtain).  Teach the Pokemon Mimic and find a Ditto.  Use Mimic in the first round@ if you out speed the Ditto@ you will learn Transform.  If the ditto uses transform twice in a battle@ it will copy your Pokemon's DVs@ resulting in it being shiny when transferred to a Generation 2 game.,Ditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Gold,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,If the Pokemon has a Speed@ Defence@ and Special DVs are all 10@ and its Attack DV is either 2@ 3@ 6@ 7@ 10@ 11@ 14@ or 15@ the Pokemon will be shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Silver,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,If the Pokemon has a Speed@ Defence@ and Special DVs are all 10@ and its Attack DV is either 2@ 3@ 6@ 7@ 10@ 11@ 14@ or 15@ the Pokemon will be shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Crystal,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,If the Pokemon has a Speed@ Defence@ and Special DVs are all 10@ and its Attack DV is either 2@ 3@ 6@ 7@ 10@ 11@ 14@ or 15@ the Pokemon will be shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Gyarados Encounter,Gold,Encounter,No,Yes,1,1,1,100,1,1,100,1,In the middle of the Lake of Rage in Johto@ there is a guaranteed shiny Gyarados,Gyarados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Gyarados Encounter,Silver,Encounter,No,Yes,1,1,1,100,1,1,100,1,In the middle of the Lake of Rage in Johto@ there is a guaranteed shiny Gyarados,Gyarados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Gyarados Encounter,Crystal,Encounter,No,Yes,1,1,1,100,1,1,100,1,In the middle of the Lake of Rage in Johto@ there is a guaranteed shiny Gyarados,Gyarados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Egg Breeding,Gold,Breeding,No,Yes,1,1,0.015625,1.5625,64,0.015625,1.5625,64,Breeding a Pokemon with a shiny Pokemon.  If the shiny Pokemon is male@ females eggs will have the increased chance of being shiny@ if the shiny Pokemon is female@ then the male eggs will.  If the shiny Pokemon is a Ditto@ all eggs will have the increased shiny odds.,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Egg Breeding,Silver,Breeding,No,Yes,1,1,0.015625,1.5625,64,0.015625,1.5625,64,Breeding a Pokemon with a shiny Pokemon.  If the shiny Pokemon is male@ females eggs will have the increased chance of being shiny@ if the shiny Pokemon is female@ then the male eggs will.  If the shiny Pokemon is a Ditto@ all eggs will have the increased shiny odds.,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Egg Breeding,Crystal,Breeding,No,Yes,1,1,0.015625,1.5625,64,0.015625,1.5625,64,Breeding a Pokemon with a shiny Pokemon.  If the shiny Pokemon is male@ females eggs will have the increased chance of being shiny@ if the shiny Pokemon is female@ then the male eggs will.  If the shiny Pokemon is a Ditto@ all eggs will have the increased shiny odds.,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Pichu,Crystal,Hatching,No,Yes,1,1,0.01,1,100,0.01,1,100,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Pichu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Cleffa,Crystal,Hatching,No,Yes,1,1,0.03,3,33,0.03,3,33,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Cleffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Igglybuff,Crystal,Hatching,No,Yes,1,1,0.03,3,33,0.03,3,33,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Igglybuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Tyrogue,Crystal,Hatching,No,Yes,1,1,0.01,1,100,0.01,1,100,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Tyrogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Smoochum,Crystal,Hatching,No,Yes,1,1,0.02,2,50,0.02,2,50,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Smoochum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Elekid,Crystal,Hatching,No,Yes,1,1,0.02,2,50,0.02,2,50,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Elekid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odd Egg - Magby,Crystal,Hatching,No,Yes,1,1,0.02,2,50,0.02,2,50,The first time you speak to the day care man south of Goldenrod City@ he will offer you an odd egg.  This egg has will hatch into one of the new baby Pokemon.,Magby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Ruby,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Sapphire,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Emerald,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Fire Red,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Leaf Green,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Diamond,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Pearl,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Platinum,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Heart Gold,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Odds,Soul Silver,Encounter,No,Yes,1,1,0.00012207,0.012207,8192,0.00012207,0.012207,8192,Randomly encountering wild Pokemon can result in a Pokemon being shiny.,All Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Gyarados Encounter,Heart Gold,Encounter,No,Yes,1,1,1,100,1,1,100,1,In the middle of the Lake of Rage in Johto@ there is a guaranteed shiny Gyarados,Gyarados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny Gyarados Encounter,Soul Silver,Encounter,No,Yes,1,1,1,100,1,1,100,1,In the middle of the Lake of Rage in Johto@ there is a guaranteed shiny Gyarados,Gyarados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Diamond,Breeding,No,Yes,1,1,0.000610352,0.0610352,1638,0.000610352,0.0610352,1638,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Pearl,Breeding,No,Yes,1,1,0.000610352,0.0610352,1638,0.000610352,0.0610352,1638,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Platinum,Breeding,No,Yes,1,1,0.000610352,0.0610352,1638,0.000610352,0.0610352,1638,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Heart Gold,Breeding,No,Yes,1,1,0.000610352,0.0610352,1638,0.000610352,0.0610352,1638,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masuda Method,Soul Silver,Breeding,No,Yes,1,1,0.000610352,0.0610352,1638,0.000610352,0.0610352,1638,Breed Pokemon from two different real world regions (i.e. a Japanese Ditto and a USA Pikachu).,All Breedable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,-1,Various,Various,Various,Various,Various,Various,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,-1,Various,Various,Various,Various,Various,Various,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,-1,Various,Various,Various,Various,Various,Various,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,0,0.00012207,0.012207,8192,0.00012207,0.012207,8192,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,0,0.00012207,0.012207,8192,0.00012207,0.012207,8192,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,0,0.00012207,0.012207,8192,0.00012207,0.012207,8192,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,1,0.000137325,0.0137325,7282,0.000137325,0.0137325,7282,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,1,0.000137325,0.0137325,7282,0.000137325,0.0137325,7282,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,1,0.000137325,0.0137325,7282,0.000137325,0.0137325,7282,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,5,0.000152579,0.0152579,6554,0.000152579,0.0152579,6554,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,5,0.000152579,0.0152579,6554,0.000152579,0.0152579,6554,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,5,0.000152579,0.0152579,6554,0.000152579,0.0152579,6554,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,9,0.000167842,0.0167842,5958,0.000167842,0.0167842,5958,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
