Name,Pokedex Number,Go,Shiny Available in Go,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Emerald,Fire Red,Leaf Green,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Lets Go Pikachu,Lets Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Sexual Dimorphism,Mega Evolution,Gigantamax Form,Alternate Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulbasaur,1,Yes,Yes,Starter Only,Starter Only,One,No,No,No,No,No,No,Starter Only,Starter Only,No,No,No,Choice,Choice,No,No,No,No,Choice,Choice,No,No,No,No,One,One,Yes,Yes,One,One,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivysaur,2,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,Evolve,Evolve,No,No,No,No,Yes,Yes,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,3,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unknown,Unknown,Unknown,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmander,4,Yes,Yes,Starter Only,Starter Only,One,No,No,No,No,No,No,Starter Only,Starter Only,No,No,No,Choice,Choice,No,No,No,No,Choice,Choice,No,No,No,No,One,One,Yes,Yes,One,One,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmeleon,5,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,Evolve,Evolve,No,No,No,No,Yes,Yes,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,6,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unknown,Unknown,Unknown,No,Yes,Yes,Mega Charizard X,Mega Charizard Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,7,Yes,Yes,Starter Only,Starter Only,One,No,No,No,No,No,No,Starter Only,Starter Only,No,No,No,Choice,Choice,No,No,No,No,Choice,Choice,No,No,No,No,One,One,Yes,Yes,One,One,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartortle,8,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,Evolve,Evolve,No,No,No,No,Yes,Yes,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,9,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,Evolve,Evolve,No,No,No,No,Evolve,Evolve,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Unknown,Unknown,Unknown,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpie,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
