Name,Pokedex Number,Generation,Stage,Egg Group 1,Egg Grioup 2,Type 1,Type 2,Baby Stage,Evolves By,Basic Stage,Evolves By,Stage 1,Evolves By,Stage 2,Evolves By,Basic Stage Alternative 1,Evolves By,Basic Stage Alternative 2,Evolves By,Stage 1 Alternate 1,Evolves By,Stage 1 Alternate 2,Evolves By,Stage 1 Alternate 3,Evolves By,Stage 1 Alternate 4,Evolves By,Stage 1 Alternate 5,Evolves By,Stage 1 Alternate 6,Evolves By,Stage 1 Alternate 7,Evolves By,Stage 2 Alternate,,,,,,,,,,,,,,,,,,,,,,,
Bulbasaur,1,1,1,Monster,Grass,Grass,Poison,,,this,Level Up,Ivysaur,Level Up,Venusaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivysaur,2,1,2,Monster,Grass,Grass,Poison,,,Bulbasaur,Level Up,this,Level Up,Venusaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,3,1,3,Monster,Grass,Grass,Poison,,,Bulbasaur,Level Up,Ivysaur,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmander,4,1,1,Monster,Dragon,Fire,,,,this,Level Up,Charmeleon,Level Up,Charizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmeleon,5,1,2,Monster,Dragon,Fire,,,,Charmander,Level Up,this,Level Up,Charizard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,6,1,3,Monster,Dragon,Fire,Flying,,,Charmander,Level Up,Charmeleon,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,7,1,1,Monster,Water 1,Water,,,,this,Level Up,Wartortle,Level Up,Blastoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartortle,8,1,2,Monster,Water 1,Water,,,,Squirtle,Level Up,this,Level Up,Blastoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,9,1,3,Monster,Water 1,Water,,,,Squirtle,Level Up,Wartortle,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpie,10,1,1,Bug,,Bug,,,,this,Level Up,Metapod,Level Up,Butterfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metapod,11,1,2,Bug,,Bug,,,,Caterpie,Level Up,this,Level Up,Butterfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfree,12,1,3,Bug,,Bug,Flying,,,Caterpie,Level Up,Metapod,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weedle,13,1,1,Bug,,Bug,Poison,,,this,Level Up,Kakuna,Level Up,Beedrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakuna,14,1,2,Bug,,Bug,Poison,,,Weedle,Level Up,this,Level Up,Beedrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,15,1,3,Bug,,Bug,Poison,,,Weedle,Level Up,Kakuna,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgey,16,1,1,Flying,,Normal,Flying,,,this,Level Up,Pidgeotto,Level Up,Pidgeot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeotto,17,1,2,Flying,,Normal,Flying,,,Pidgey,Level Up,this,Level Up,Pidgeot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,18,1,3,Flying,,Normal,Flying,,,Pidgey,Level Up,Pidgeotto,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,19,1,1,Field,,Normal,,,,this,Level Up,Raticate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Rattata,19,1,1,Field,,Normal,Dark,,,this,Level Up,Alolan Raticate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
